Number,Title,Description,Location,Time,Term,Company,Category,Source,Salary
36,Joiner Jobs In Scotland,"Additional Information This is a permanent vacancy. Normal hours of duty are 37 per week to be worked; Monday – Thursday 8.00 am – 4.00 pm Friday 8.00 am – 3.30 pm With a half hour break for lunch. Please note that there are **** posts. Closing Date: 15 February 2013. Hours per week: 37 Weeks per year: **** Contract duration: Permanent To view the full job advert and any other related documentation, click on the 'Apply Online Now' button below.",UK,,contract,East Ayrshire Council,Trade & Construction Jobs,jobsinscotland.com,21568
37,Packaging Analyst,"We are working with a logistics company in the West Cheshire area who are looking for a Packaging Analyst to join their team. The job is a permanent, fulltime role, which will be 37 hours per week. They want a candidate who will be able to produce packaging solutions appropriate to specific customer requirements in a fast moving supply chain environment that are compatible with an overall lean: cost down philosophy. This is to ensure that packaging best practice is adhered to and that all packaging suppliers engaged are managed to ensure service delivery is met. Our client is a big player in the worldwide logistics market, with many offices all over the globe. They providing logistics services to key sectors that include Aerospace, FMCG, Oil & Gas, Automotive, Healthcare and Retail. The role would consist of: Providing bespoke packaging solutions for high value components taking into account best practice in transportation optimization, line side delivery requirements and parts protection Providing generic packaging solutions including kit boxes, pallets and delivery cages Analysis and interpretation of customer data The conceptualisation and development of packaging solutions The development of packaging operations management solutions including tracing, pooling, repair and maintenance, sortation and storage Management of RFQ and benchmarking and knowledge of procurement to ensure the best packaging quality/cost/service mix Monitoring of varying tasks as defined by the project plan are completed or where issues arise that prevent completion these issues are identified and escalated where required Facilitate the definition of project scope, product requirements, business case, goals and deliverables Define packaging development tasks and resource requirements. Develop packaging project plans and associated communication documents. Plan and schedule packaging development timelines. Identify and manage packaging project dependencies and critical path. Track packaging project milestones and deliverables using appropriate tools. Quality assurance. Develop and deliver progress reports, proposals, requirements documentation and presentations. Present reports defining solution progress, risks and issues and escalate where required. Implement and manage solution changes and interventions to achieve deliverables. Solution evaluations and assessment of results. Build, develop and grow any business relationships vital to the success of the solution or the business as a whole. The starting salary will be **** per annum, and the supplementary package includes a 10% bonus scheme, a pension, and private health insurance. In order to be considered for the role, you MUST have: Previous experience in similar role, in a fast moving Customer and Servicefocused logistics environment Proven experience in requirements management Project management experience within a similar complex logistic or supply chain environment Expertise in returnable and disposable packaging solutions design in a variety of materials but not limited to: metals, plastics, foam, composite, wood and cardboard Proven experience in risk/issue management Excellent IT skills including use of MS Office software. Excellent communication (written/verbal) and presentation skills. Detailed knowledge of the European Industrial packaging industry I am looking to set up interviews as soon as possible, so if you are interested and available for interview, please reply with your CV and daytime contact number as soon as possible and I'll get back to you. Please feel free to pass on my details if you know someone who might be interested",Cheshire,,,,Teaching Jobs,britishjobsonthe.net,30000
38,Business Manager (6 month contract position),"Textile Manager in Cambridge, Cambridgeshire / Sidcup, Kent. Manager required to work for a prestigious client supplying bespoke tailoring and trimmings to the textile market. The position can be based in either Cambridge or Kent as my client has a facility in both locations and will consider applications from both locations. You will be required to have experience of the textile industry especially to the high end tailoring market and have the expertise of trimmings used in the bespoke tailoring trade where you will be supplying to tailors around the world. This is a **** month role with a view to being permanent. Please contact me to discuss the position further or please feel free to send me your CV to be considered for the role. Sabi Kara at Interaction Recruitment  N/A This job was originally posted as N/A .uk/JobSeeking/BusinessManager****monthcontractposition_job****",UK,full_time,permanent,UKStaffsearch,Sales Jobs,ukstaffsearch.com,27500
39,Business Development Manager  Domestic Radiators,"Job Title: Business Development Manager Sector: Commercial Niche: Domestic Radiators Selling: Domestic Radiators Selling To: Plumbers Merchants and Distributors Territory: Southern Home Counties  SL, RG, GU, SO, BH, PO Package: ****k  ****k  Generous OTE Uncapped, Car Phone Lap Top Consultant: Serena Bell Company Info:  Market Leader for Domestic Radiators  Dynamic forward thinking Business  Offer genuine career opportunities Role Information:  Selling Domestic Radiators to maintain existing business levels whilst developing new contacts and accounts via a network of national, independent plumbing Bathrooms, Building Materials, Building Services, Coatings, Repairs Capital Equipment, Control Business Finance, Business Information, IT & Telecoms, Office & Contract Furniture, Office Equipment, Office Supplies, Professional Services, Rental Services, Security",South East London,,permanent,On Target Recruitment Ltd,Sales Jobs,cv-library.co.uk,34000
40,PA,"Duties will include but are not limited to: Provide personal assistant support to the Regional Managing Director Diary management  setting up and arranging meetings, booking rooms, refreshments and organising any equipment required Preparing documents or packs for meetings Set up files/filing Drafting presentations Taking minutes in meetings or appeal hearings Organising travel, accommodation, events Cover the Thatcham reception desk and switchboard. Make sure appropriate health and safety documentation is completed and that visitors are given the appropriate protective clothing. Update any visual signage Process and sort all post Manage all stationary orders ensuring stocks are replenished Organise and renew Company cars within the region. Manage any pool cars and hire car bookings Book all transport and accommodation for the region and manage relations with third party suppliers Manage meeting room bookings and ensure the meeting rooms are kept clean and tidy Update telephone lists Send out invoices on a daily basis Update the time and attendance system for all regional employees  manage the web tool, book holidays etc Record and collate all training activity for regional employees Provide back up support to the time attendance system  clearing anomalies, inputting data etc Collate monthly reps report and update trackers Provide general administration support to the regional management team (typing, preparing presentations, letters etc). Assist organisation and set up of inductions for new starters and regional employees The ideal candidate will have proven previous PA experience, be extremely organised, have a high attention to detail and be able to start immediately. Do you have previous PA experience? If so apply today Adecco Newbury Please note: This position is based in Thatcham, West Berkshire, please only apply if you are willing and able to work in this location. We regret that due to volume of response, we can only contact initial successful applicants. Adecco are a registered recruitment agency and a equal opportunities provider. Adecco is acting as an Employment Business in relation to this vacancy",Thatcham,,contract,Adecco,Admin Jobs,cv-library.co.uk,21000
41,Business Process Analyst  Six Sigma,"Job Title: Business Process Analyst  SIX SIGMA (or similar methodology) Department: Business Change Circa ****  Bonus  Corp Bens Responsibilities of the position: Amongst others: To support the identification and prioritisation of business process improvements aligned to the overall change agenda and organisations strategic requirements. To engage with business resources to identify and quantify tactical improvement initiatives and maintain a consolidated opportunities register. Education, Qualifications, Knowledge, Skills and Experience: On Offer: Excellent career development, superb working environment, established team based in corporate function focussed on high quality Service Delivery to the business. You will be working for a highly respected and established insurance business professional who will help to mentor your career; the role is offering an excellent financial basic and corporate benefits package. Required Excellent IT Skills including good working knowledge of Microsoft Excel, PowerPoint, Visio  Essential Knowledge of the development and maintenance of process and cost models  Essential Knowledge of Access, Minitab  Desirable Knowledge of relevant Lloyd's Underwriting Management Minimum Standards  Desirable EDUCATION AND QUALIFICATIONS  Essential or Desirable Black belt accredited in Lean Six Sigma or similar accredited process improvement methodology  Essential Degree level education or equivalent  Desirable Recognised insurance qualification  Desirable EXPERIENCE/KNOWLEDGE  Essential or Desirable Proven experience of working in Insurance/Finance Sector  Essential Clear evidence of business improvement delivered using business improvement tools and techniques such as **** Sigma, Lean, formal project methodologies  Essential Experience in statistical and numerical analysis, ideally with experience of Minitab or similar/equivalent software toolset  Essential Strong understanding of Underwriting and Claims processes acquired from operating within a technical or Risk Management background  Essential Proven experience of delivering improvements to business processes  Essential Proven ability to influence at all levels  Essential Proven capability of managing multiple complex process improvement projects  Essential Experience of working within the Lloyd's or London Market  Desirable For the opportunity to be represented to this outstanding permanent opportunity send your C.V. and call to discuss the full picture of the position.",Letchworth Garden City,full_time,permanent,London4Jobs,IT Jobs,london4jobs.co.uk,57500
42,Senior Quality Engineer,"The Opportunity An outstanding opportunity with a leading medical device/pharmaceutical manufacturer has arisen for a Senior Quality Engineer where you will be the key player representing the technical aspects of the quality function for the Technology Transfer of two product ranges into the UK manufacturing base. The Senior Quality Engineer will be responsible for the product transfers with all its impinging facets and subsequently the ongoing quality engineering support for this expanding facility. Reporting to the Design Control Manager you will be:  Managing the Technology Transfer of products into the UK with responsibility for the DHF transfer, documentation amendments and the preparation of the Lifecycle Management Systems requirements  Working closely with the manufacturing facilities you ll assure successful design transfer, including product/process validations and support improvements to processes at manufacture  Providing design control assurance and engineering/technical assessments of data that supports the design history files there ll be an emphasis on detecting design defects/process issues to minimize the impact to cost and schedule, then you will enable the implementation of appropriate controls  Review, approve and manage documents, e.g. validation protocols, SOP s, specifications for accuracy and completeness and get involved during internal and external audits/inspections  Utilising best practices for experimental design, fundamentals of statistical process control, sampling rationale and reliability assurance you ll work with crossfunctional teams to impact product quality, time to market, increase efficiency, solve problems, generate cost savings, improve quality and introduce new concepts  There will be continuous improvement initiatives such as QLP, BioScience Operating Systems, Lean, Six Sigma as well as tracking and trending department metrics and quality indicators to get involved with Requirements to do the job:  You must have the ability to apply knowledge and independent judgement to technically support the Quality function with specific experience of Technology Transfer  Experience in the area of design input/output review, design validation, design transfer and DHF creation and management is preferred  You will have a Degree or Masters in Engineering or associated Technical/Scientific discipline and a minimum 6 years experience in Quality Engineering for medical devices and or combination devices  ASQ Quality Engineer, Six Sigma Black Belt or Reliability Engineer certification preferred  Excellent analytical and problem solving skills able to demonstrate troubleshooting skills within engineering situations, always having a keen insight and focus towards Quality  Highly proficient verbal and written communicator, able to convey complex ideas and concepts to other team members that may have differing technical backgrounds as well as external suppliers  Ability to demonstrate strong organizational and problem solving skills, attention to detail, manage multiple priorities and complex problems, resolve any conflict in a positive and proactive manner  Strong working knowledge in project management tools, methodology and continuous improvement tools What next: This is a challenging career opportunity and would suit a resourceful, selfreliant, selfmotivated, experienced Quality Engineer so if you can bring the required skills with proven knowledge and an approach that achieves results, then my client would like to hear about your successes. Please contact Deborah Blumfield of Hendron Wood Resource Solutions on **** ****/**** **** for further information and forward your CV using the links.",UK,,permanent,Hendron Wood Resource Solutions,Engineering Jobs,jobsite.co.uk,45000
43,HGV Technician,"Commercial Vehicle Technicians Doncaster Major Truck Dealership This is a fantastic opportunity to join a prestigious, well established and highly successful commercial vehicle dealership. The client is looking to employ experienced and organised Truck Mechanics to work alongside a very successful workshop team. You must have experience in as many as the following areas as possible  servicing, repair & maintenance, Diagnostics and ****hr breakdown cover. Must have minimum experience of HGV servicing and repair to MOT standard. Current C or CE licence would be an advantage. Call now on (Apply online only) and ask for Andrew Gosling to discuss this opportunity in complete confidence",Doncaster,,permanent,Auto Skills UK,Other/General Jobs,cv-library.co.uk,21500
44,C / C++ Software Support Engineer / Graduate Engineer,"Position: C/C++ Software Support Engineer / Graduate Engineer Milton Keynes, Bedford, Luton **** to **** C/C++ Software Support Engineer / Graduate Engineer required to provide software support to customers world leading communications products. The support aspect of this role includes helping clients via telephone and email to provide advice on software development, bug fixing, maintenance and configuration. You must have C / C++ programming experience on Linux and Windows gained in a technical degree such as Computer Science, Software Engineering or Electronic Engineering or in commercial experience. You need to be a good problem solver and able to work in a team in a client facing role. Knowledge of other programming languages such as C, Python or Java would be an advantage, but it is your C/C++ skills that will be tested. Any knowledge of IP Telephony, TCP/IP, VoIP or SS**** protocols would be desirable, but product training will be give. This is a great chance for Graduate Software Engineer with C/C++ skills to build their career in a growing and well established market leader in comms software products.",UK,,permanent,IT Connections Limited,IT Jobs,jobsite.co.uk,24000
45,HR Officer,"Our client, is a well known commercial organisation is looking for an HR Officer to join the team for a **** month fixed term contract. Reporting into the HR Manager, you will provide an HR advice service to the business unit. You will be involved in recruitment on all levels, training and development, disciplinaries and grievances as well as adhod projects as and when required. You will ideally be CIPD qualified or equivalent with experience of working within an HR Department where you have held a similar position. It is essential that you have experience of working within a unionised environment where you have dealt with a blue and white collar environment.",Harlow,,permanent,,Manufacturing Jobs,hays.co.uk,28000
46,Graduate Software Engineer,"Graduate Software Engineer Are you a recent graduate seeking to work for one of the world?s fastest growing and most exciting technology companies? Right now we are seeking a number of Graduate Software Engineers to develop the Linux graphics driver infrastructure for GPU hardware. In this role you would be joining the world?s leading family of ultralow power GPU IP cores for mobile and embedded applications. If you are seeking a position bringing you into contact with current and future generations of ****D hardware targeted at mobile phones and other mobile devices then look no further These roles as Linux Graphics Driver Graduate Software Engineers will involve developing Linux and Open Source specific portions of a driver ? the display controllers, kernel interfaces and hardwarespecific aspects. Knowledge of C / C++ programming, Linux, including how to install and manage a Linux system would be of interest. You should be degree qualified in electronics, computer science or similar. Benefits include a lucrative share option scheme and salary reviews every six months.",UK,full_time,permanent,Enterprise Recruitment Ltd,Graduate Jobs,fish4.co.uk,24500
47,Executive Support Officer  Strategy,Do you have a Level 3 qualification and significant experience in Business Administration? The Executive Office is seeking a highly organised individual to provide administrative support and ensure the efficient and effective day to day operation of the office. The ideal candidate will have the ability to operate in an environment that requires appropriate handling of information of a sensitive and confidential nature.,Warwickshire,full_time,permanent,WARWICKSHIRE COLLEGE,Teaching Jobs,jobs.guardian.co.uk,22761
48,Support Desk Operator,"To work as part of a team providing ****hr support to users of the Co service, and internal ICT assistance when required. AIM: To play a key part in ensuring that Co achieves its vision of providing a service to marine industry that is equivalent to any ‘best of breed’ service provided by a terrestrial based Service Company. JOB FUNCTIONS:  Responding to customers enquiries regarding the operation and faultfinding of the Co data service within laid down SLA’s  The logging of all activity in the Co business system  The physical installation of Co equipment, when required and as part of ongoing OJT  To provide support to the Data Administrator in the quality checking of prepared data  To provide internal ICT support under direction of the Deputy Support Desk Manager  To work with the Deputy Support Desk Manager in ensuring that any support SLA’s are met or exceeded  To provide ****hr, **** day support cover as part of a rotating ‘oncall’ rota  Monday to Friday in office shifts are as follows: **** – **** **** – **** **** – **** QUALIFICATIONS: • ICT based qualification, minimum A or above • Microsoft qualification beneficial REQUIREMENTS: • Excellent communication skills and telephone manner. • Experience and good familiarity with Windows XP, Vista and **** • Ability to work for lengthy periods of time under own initiative • Thorough understanding of computing fundamentals • Excellent organisation skills with meticulous attention to detail EXPERIENCE REQUIRED FOR THE ROLE: • Experience is necessary in at least **** of the following: • Windows Operating Systems • Communications protocols • Computer Networking • Technical Help desk work",Enfield,full_time,,,Customer Services Jobs,Jobcentre Plus,25500
49,Marketing and Communications Manager,"Ad Text:Membership Organisation PermBristol Marketing and Communications Manager  **** The Company: Working for a fantastic membership organisation you will have the opportunity to join the team as the Marketing and Communications Manager. Based in Bristol you will be responsible for raising the profile of the organisation. This is a permanent role paying up to ****ey Responsibilities: You will be responsible for for significantly rasing the profile of the organisation and increase membership retention and acquisition You will also be responsible for outlining the marketing and communications strategy and ensuring the implementation of this on an operational levelThere will be an element of PR to the role as you raise the profile of the organisation through various media'sYou will also be responsible for undertaking the social media strategy to raise the profile of the organisation externally. Liaising with senior stakeholder and influencing at board levels. Key Skills: The ideal candidate will have experience of working within a membership organisation and have experience of working at a strategic level previously. They will also have had previous experience of raising an organisation brand awareness previously. Please send your CV to louise.beckjobs.hudson.com, where you will receive an automatic response.Please remember to quote the job reference UK(****Fill in) in all correspondence Please note you will receive an automated response advising you that we have received your CV. Hudson is a leading provider of permanent recruitment, contract professionals and talent management solutions worldwide.",Bristol,,permanent,,"PR, Advertising & Marketing Jobs",simplymarketingjobs.co.uk,35000
50,Online Marketing Manager,"Our client is part of a leading, global media group and they offer and exciting and dynamic working environment. Their Leeds based division is managing a number of global digital channels and as such they require an Online Marketing Manager to support the growth of the consumer division. The role will focus on developing the product and customer proposition, taking to market and then running multichannel, digital, media campaigns. To be considered for this role you must have a strong online marketing commercial background, ideally with experience of advertising, mobile and social media. The Role:  Developing commercial propositions  Supporting the sales channel on taking products to market  Managing campaigns once agreed  Input into strategic business development long and shortterm  Influencing team on a global scale  Managing relationships with new and existing clients The Person:  Online media specialist  Excellent understanding of content, advertising, mobile and social media  Strong commercial background  Influencer at all levels  Sport experience and passion a bonus  Agency or inhouse considered This Online Marketing Manager job is commutable from Leeds, York, Harrogate, Bradford and Huddersfield. MET Marketing is acting as the recruitment agency for this Online Marketing Manager vacancy.",West Yorkshire,full_time,permanent,MET MARKETING,"PR, Advertising & Marketing Jobs",jobs.guardian.co.uk,35000
51,CNC Lathe Turner (Mazak),"Overview We are looking to recruit a CNC Turner with Mazak experience to work a permanent nightshift for an engineering client based in South Shields. Company The company are involved in the cutting edge design and manufacture of bespoke plant and equipment for the defence, oil, gas and marine industries. Job CNC Turner to work a permanent nightshift four nights a week Monday to Thursday with possible overtime on a Friday night. The candidate will be working a Mazak Integrex **** CNC lathe, and should be comfortable programming, setting and running their own work. Experience Must be timeserved. They should ideally be used to setting and machining fabrications and castings to precise tolerances. Experience in machining a wide range of exotic and carbon based materials would be favourable, but not essential. Remuneration Salary as below  overtime. This is a permanent position and Corepeople Recruitment Limited will be acting as an employment agency for permanent recruitment on behalf our client. By applying for this job you accept the T C's, Privacy Policy and Disclaimers which can be found at www.corepeople.com. This job was originally posted as www.totaljobs.com/JobSeeking/CNCLatheTurnerMazak_job****",South Shields,,permanent,Corepeople Recruitment,Engineering Jobs,totaljobs.com,25974
52,Casual Recreation Assistant (Lifeguard) – Ladywell Leisure Centre  Lewisham,"If you want to have a challenging and rewarding career doing something you love, and possess the drive and determination to be the very best, then please apply to work with us Fusion is a forward thinking and innovative operator of Leisure Facilities nationwide and we are looking for a casual lifeguard, with a valid NPLQ and documented CPD training, for Ladywell Leisure Centre. Ladywell will be closing in the next couple of months and you will continue to work in the new state of the art Glass Mill Leisure. This is an exciting opportunity to work in a new flagship site. The facilities will include two pools, a huge gym, studios, a caf and much more. Location: Ladywell Lesiure Centre Glass Mill Salary: **** per hour Working Hours: Casual hours vary Job Summary To undertake pool supervision, carry out daily programme of equipment set ups and changeovers as required according to the activity and event programme. To assist in the development of programming through innovative ideas and initiating actions to meet the demands of the customers To assist in the communication and promotion of the centre s services. To assist in the effective operations of the activity programme by coaching / teaching, where appropriate. To assist in ensuring the efficient and effective operation of the facility, on a shift rota basis To establish and maintain good relationships with our customers, ensuring that an appropriate ambience is maintained in the facility making customers feel welcomed and valued, with due regard for the Equal Opportunities and Diversity Policy and Customer service standards To ensure that the centre is secure and maintained to the highest standards of cleanliness and repair To ensure the safety and welfare of staff and users of the centre through the operation of all Health and Safety procedures and standards and be aware of your role in managing emergencies, accident reporting and report defects as necessary Assist customers with regard to lost property, first aid, use of equipment and provide general information regarding the centre. Deal with complaints in a sensitive manner. Requirements Current NPLQ qualification ESSENTIAL Previous experience of working within the leisure industry is preferred Required to work outside normal hours, including evenings, weekends, public holidays with flexibility of location Responsible for maintaining all relevant qualifications and attending training sessions as part of normal working arrangements",Lewisham,,permanent,Fusion,Travel Jobs,leisurejobs.com,15936
53,Branch Manager – Healthcare – Hampshire,"Branch Manager Healthcare Hampshire Up to **** basic Uncapped commission scheme Benefits Company Very successful and well established privately owned group who are enjoying huge demand across their services, particularly within their Healthcare recruitment brand Specialist across Allied Healthcare Nursing  Locum Perms Supply both Public Private sectors Position A Billing Manager role whilst leading a team of 3 recruiters supplying Allied Healthcare professionals, and Nurses Responsible for the dayday sales and leadership, driving business forward to deliver long term growth Performance manage, lead and motivate the team to ensure outstanding results Requirement Ideally a minimum of 2 years leadership experience as a Recruitment Branch Manager operating within Healthcare recruitment, or potentially, Senior consultant/Team Leader looking for that next step in their career Must have recruitment experience within Healthcare and understand current legislations A high desire for sales, mixed with the ability to build professional relationships at all levels. A tenacious and pragmatic business acumen An ability to work autonomously as well as in a team React in a targeted environment We do try to respond personally but if you have not heard from us within 3 working days then please accept that your application is not going to proceed further",Winchester,,,Fresh Partnership,HR & Recruitment Jobs,MyUkJobs,35000
54,Registered Nurses Ipswich,"Nurses Ipswich ****  **** per hour Reference: NUIPSCH**** Job Description: Advantage Healthcare Group is currently recruiting dedicated Registered Nurses to assist a variety of patients and clients in various care home settings. We are looking for nurses with experience of providing a high standard of clinical and personal care and who can confidently undertake the following duties; Assist patients with all aspects of day to day living including, eating, washing, dressing, exercising and general support. Be responsible for medication rounds and clinical supervision for the healthcare assistants Assess patients and plan Carry out nurse procedures for patients and families Maintain clear and legal documentation. Experience of working within many areas of hospital or care homes is essential as the place you will work at will vary from day to day. Previous experience of the following will also be necessary: Safe use of patient equipment Conducting Observations Taking Blood Pressures and Temperatures Ability to write up daily reports Manual Handling and hoisting Please quote reference **** when applying. Benefits Flexible hours to suit you Competitive rates of pay Holiday pay Members Loyalty programme Specialist training to further develop your career CRB Reimbursement scheme Access to exclusive discounts for High Street stores, travel and other leisure activities Work with some of the UK s most prestigious companies and individuals To Apply Apply online now enclosing your current CV and covering letter, alternatively call our Recruitment Line on **** **** **** **** To be successful you must be able to supply clinical references that cover recent skills and experience. Applicants subject to enhanced level CRB. Advantage Healthcare is an equal opportunities employer (Agy). Benefits:  Flexible hours to suit you  Competitive rates of pay  Holiday pay  Members Loyalty program  Specialist training to further develop your career  CRB Reimbursement scheme  Access to exclusive discounts for High Street stores, travel and other leisure activities  Work with some of the UK’s most prestigious companies and individuals To Apply: Apply online now enclosing your current CV and covering letter, alternatively call our Recruitment Line on **** **** **** **** To be successful you must be able to supply clinical references that cover recent skills and experience. Applicants subject to enhanced level CRB. Advantage Healthcare is an equal opportunities employer (AGY).",Ipswich,,,,Healthcare & Nursing Jobs,careworx.co.uk,33600
55,Nuclear Medicine Radiographer  London,"MedicsPro are currently looking for an experienced Nuclear Medicine Radographer. The successful candidate would be working full time in London. You must have experience using Kodak PACS and encompass a fully comprehensive range of equipment. This includes DR general rooms, flat plate interventional room, Nuclear Medicine department, a ****T MRI scanner, two CT scanners, ultrasound trauma imaging and fluroscopy. The position is to commence ASAP for a ongoing period and is 5 days per week 9am  5pm. Accommodation can be arranged. The Urban Group offer highly competitive rates of pay and also offer a fantastic recommend a friend scheme so please contact us today to find out what we can offer you For further information regarding this opportunity please contact Michael Prince on (Apply online only) or apply to this advert.  Not the right position for you? Our consultants are aware of numerous other opportunities throughout the country that might be. For further details please contact MedicsPro on (Apply online only)",London,,contract,MedicsPro,Healthcare & Nursing Jobs,cv-library.co.uk,53760
56,Senior Software Engineer,"A Senior Software Engineer (C/J****SE) is required on a permanent basis due to rapid expansion and growth for one of the largest service providers in the UK. The role based in West London is easily commutable from the Home Counties by rail and road. The company innovative in their approach strive to be the best in the market and encourage their employees to do the same. A Senior Software Engineer (C/J****SE) is required on a permanent basis due to rapid expansion and growth for one of the largest service providers in the UK. The role based in West London is easily commutable from the Home Counties by rail and road. The company innovative in their approach strive to be the best in the market and encourage their employees to do the same. As Senior Software Engineer (C/J****SE) you&x****019 ll be working in the company&x****019 s research and development division joining a growing team of experienced engineers. You&x****019 ll be working in a faced paced environment and be responsible for the diagnostics, analysis and development of the companies&x****019 hardware and software products playing a crucial part in the company&x2019 s future development. You&x2019 ll have experience in Embedded Software Development coding in C and have a strong understanding of Core Java. To be considered for the role Senior Software Engineer (C/J2SE) you&x2019 ll be qualified to degree level or equivalent in a relevant subject e.g. Electronics, Embedded Software Systems etc. and have relevant industry experience. Required Skills &x**** Embedded C &x**** J2SE and Java Native Interface &x**** Linux &x**** Debugging The following would also be of benefit &x**** STB/Digital TV/DVB &x**** Video/Audio Codecs This is a fantastic opportunity to develop your career as a Senior Software Engineer (C/J2SE) with one of the UK&x2019 s largest companies. To apply for this permanent Senior Software Engineer (C/J2SE) role based in the West London area commutable from the Home Counties by rail and road the please call Rachel Barry on **** **** **** or send your up to date CV and contact number Ref: ****/RB View our latest jobs today at www.jamrecruitment.co.uk and follow us on Facebook, Twitter & LinkedIn JAM Recruitment is acting as an employment agency with regards to this position.",West London,,permanent,JAM Recruitment Ltd,Engineering Jobs,careers4a.com,47500
57,"Head Chef, **** rosette level Boutique Hotel, North East, ****k","The Position: Head Chef The Successful Candidate: Head Chef This fantastic boutiquestyle Hotel is looking for a Head Chef with **** rosettes or perhaps Michelin star experience to develop the brigade and the product, and as such your CV must be able to demonstrate consistent commitment at this level. As Head Chef you will be responsible for the running of a busy fine dining restaurant, offering exceptional cuisine – using local produce to provide diners with every luxury and experience possible, along with a Spa Bistro and occasional exclusive use functions. You will be guaranteed the support you need to achieve these goals, with a superb team overseeing the progress. This is a great opportunity for a superb chef who is at the top of their game and ready to reach the next level. Our Client: Small highly accoladed boutiquestyle property with a renowned restaurant, beautifully appointed bedrooms and exceptional standards of customer care  all managed by an experienced Manager who is well respected within the industry. Benefits: Head Chef Full training and development opportunities. Uniform provided and free meals on duty. Good package and benefits for the right candidate . Salary to c****k n.b. You must hold an EU Work Permit valid for at least 18 months to be eligible for this role.  Please note, only candidates with the specified experience will receive a response. About us: Red Star Associates is an independent organisation specialising in Hospitality Recruitment. We are here to assist you in developing your career further within the hospitality industry.We offer vast opportunities across the board and specialise in the some of the finest establishments throughout the country  including those from Relais Chateaux, and with accolades such as AA red stars, Michelin stars and AA rosettes, from mainly a portfolio of privately owned properties. We offer a highly efficient and personal service believing that by getting to know both our candidates and clients well, we can ascertain their needs far better and make successful placements for both parties. This job was originally posted as www.caterer.com/JobSeeking/HeadChef****rosettelevelBoutiqueHotelNorthEast****k_job****",North East England,,,Red Star Associates   Hospitality Recruitment,Hospitality & Catering Jobs,caterer.com,40500
58,International Development Manager: Weird Fish,"Weird Fish was founded 15 years ago and has grown to become one of the UK s leading wholesale brands in the active lifestyle clothing market, selling in to over **** national and independent accounts. The business provides clothing for the lucrative and growing market of older men and women who want a branded and more individual product to that provided by mainstream retailers or the heavily branded and more fashionled product offered by other wholesalers or retailers. Initial indications are that in addition to the UK market, the brand has strong appeal in some other countries. It has been agreed that the time is right to explore this untapped market and establish an international foothold in carefully selected countries and to recruit someone to lead this key next stage. The right person will become part of the senior management team and could enjoy an equity stake in the future. The Role Reporting to the Managing Director, take responsibility for the entire International growth plan for the brand range and report at regular intervals to the Main Board with recommendations and updates. Undertake a comprehensive study of the main overseas market opportunities and recommend a fully costed business plan for those chosen markets, including the optimum route to market. Initiate commercial negotiations with local partners and together with the MD conclude long term agreements. Play a leading role in the selection of product ranges for each market and ensure agreed plans are monitored closely, suggesting corrective actions where necessary. Motivate overseas based partners with regular field visits to ensure the brand positioning and strategy is adhered to. The Person An experienced retail professional that has a successful track record in international brand development with a leading fashion or sports clothing brand. Well versed in negotiating with local partners and knowledgeable of the various options in securing a route to market e.g. agency, distributor or licensing. First class communication and relationship building skills; a good team player who can operate in a small organisation where a high level of selfsufficiency is required. Ambitious to progress their career in a fast growing environment where autonomy and rewards will be the results of significant overseas sales and profitability growth. To apply: Please email your CV and salary details to Neil Watkins at admin N/A .uk quoting Ref: **** or call Neil on N/A for an exploratory discussion, in confidence.",The City,full_time,permanent,UKStaffsearch,Hospitality & Catering Jobs,ukstaffsearch.com,64999
59,Operations Manager (New Product Development),"My client, a prestigious financial services organisation, are searching for an ambitious operations manager to join a small product development team in their retail division. The team is responsible for the proposal, development, rollout and management of new and innovative lending products. You will start immediately with the rollout and subsequent management of the new Endowment Loans Product, and will quickly move on to the proposal and development of other products. You will be expected to be very flexible and take on a variety of tasks including business analysis, process mapping, testing, and managing loan processes. Management and monitoring of 3rd party providers will also be a major part of the role. Key Experience  Experience of operations management within a financial services organisation  Experience of managing 3rd party vendor relationships – ensuring that key SLAs are met  An in depth understanding of process flow  How to implement a process  Managing the full lifecycle of a process  Experience of mapping out the “as is” and “to be” state of projects and the ability to carry out a detailed Gap Analysis. This is an excellent opportunity management to join a rapidly growing FS organisation with several new, exciting products in the pipeline. If you feel you may be suitable I would be delighted to receive your MS Word formatted CV.",South West London,,,Morpheus Group,Other/General Jobs,gojobsearch.co.uk,30000
60,Property Litigation **** PQE,"This leading City firm is now looking to recruit a talented and experienced property litigation solicitor at the **** PQE level to join their office in the heart of London. The practice advises some of the UK s leading property owners and developers on a broad spectrum of contentious real estate matters. As such, your caseload will incorporate commercial, residential and mixeduse schemes, easements and restrictive covenants, development agreement disputes, dilapidations, rent review, vendor and purchase disputes, opposed lease renewals and rights of light issues. Exposure to a mixed workload of high quality standard is therefore guaranteed. The successful candidate will have excellent academics, strong technical ability, and previous property litigation experience derived from a leading City or strong regional practice. Sound client handling skills, commercial focus and an ability to both lead and comply within a team environment will be crucial to the role. This is an excellent opportunity for an experienced solicitor looking to take on a challenging role with a high degree of responsibility. For more information on this role, please contact Toria Walker. Please note our advertisements use PQE/salary levels purely as a guide. However we are happy to consider applications from all candidates who are able to demonstrate the skills necessary to fulfil the role.",London,,permanent,Taylor Root,Legal Jobs,legalweekjobs.com,65000
